shape_id,route_id,route_name,direction_id,stop_sequence,segment_name,start_stop_name,end_stop_name,segment_id,start_stop_id,end_stop_id,distance_m,geometry
025e3cd3-af74-42bc-89a7-cc35ee83bd10,db26052a-916e-4235-9caa-0a364b781f39,4B SOUTH GO,0,55,Yonge and Big Bay Point  - Bay Lane,Yonge and Big Bay Point ,Bay Lane,bdff618d-7509-47fb-863a-9816b029e4b5 - 11cfe8b0-560c-4ba0-bda8-27ea29ea68eb,bdff618d-7509-47fb-863a-9816b029e4b5,11cfe8b0-560c-4ba0-bda8-27ea29ea68eb,11433.089281116852,"LINESTRING (-79.6489913552398 44.3569027994217, -79.6489913552398 44.3569027994217, -79.6663412252868 44.3727506323308, -79.6380787872123 44.3485611288882, -79.6796181607019 44.3715329093655, -79.66073281 44.3706467)"
025e3cd3-af74-42bc-89a7-cc35ee83bd10,db26052a-916e-4235-9caa-0a364b781f39,4B SOUTH GO,0,30,Bay Lane - Burton at Bayview,Bay Lane,Burton at Bayview,11cfe8b0-560c-4ba0-bda8-27ea29ea68eb - 4ba64802-5043-47fc-8e33-c23a07f6e664,11cfe8b0-560c-4ba0-bda8-27ea29ea68eb,4ba64802-5043-47fc-8e33-c23a07f6e664,2262.1006166695734,"LINESTRING (-79.66073281 44.3706467, -79.66073281 44.3706467, -79.6867407671655 44.3711506945581, -79.68436993 44.3711314)"
025e3cd3-af74-42bc-89a7-cc35ee83bd10,db26052a-916e-4235-9caa-0a364b781f39,4B SOUTH GO,0,13,Burton at Bayview - Golden Meadow Road,Burton at Bayview,Golden Meadow Road,4ba64802-5043-47fc-8e33-c23a07f6e664 - 8b8e2a05-a1ba-4a7d-8089-ba73923cce89,4ba64802-5043-47fc-8e33-c23a07f6e664,8b8e2a05-a1ba-4a7d-8089-ba73923cce89,3351.922556969448,"LINESTRING (-79.68436993 44.3711314, -79.68436993 44.3711314, -79.64362872 44.36362786)"
025e3cd3-af74-42bc-89a7-cc35ee83bd10,db26052a-916e-4235-9caa-0a364b781f39,4B SOUTH GO,0,39,Golden Meadow Road - Robinson Street,Golden Meadow Road,Robinson Street,8b8e2a05-a1ba-4a7d-8089-ba73923cce89 - c2dc17be-078c-4a64-a05e-83e0a765524d,8b8e2a05-a1ba-4a7d-8089-ba73923cce89,c2dc17be-078c-4a64-a05e-83e0a765524d,5871.811322521213,"LINESTRING (-79.64362872 44.36362786, -79.64362872 44.36362786, -79.6384154044637 44.3492370456002, -79.6410506749779 44.3516242117658, -79.68121647 44.37138819)"
025e3cd3-af74-42bc-89a7-cc35ee83bd10,db26052a-916e-4235-9caa-0a364b781f39,4B SOUTH GO,0,14,Robinson Street - Kingswood Plaza,Robinson Street,Kingswood Plaza,c2dc17be-078c-4a64-a05e-83e0a765524d - 7ca91156-809c-4e3d-9f78-2e73d6e40aa7,c2dc17be-078c-4a64-a05e-83e0a765524d,7ca91156-809c-4e3d-9f78-2e73d6e40aa7,7023.135896777447,"LINESTRING (-79.68121647 44.37138819, -79.68121647 44.37138819, -79.6292798000145 44.3512393147492, -79.64986134 44.36597526)"
025e3cd3-af74-42bc-89a7-cc35ee83bd10,db26052a-916e-4235-9caa-0a364b781f39,4B SOUTH GO,0,34,Kingswood Plaza - Hurst at Little,Kingswood Plaza,Hurst at Little,7ca91156-809c-4e3d-9f78-2e73d6e40aa7 - 0abede1a-24ce-466c-a87a-cbf66ad8eeec,7ca91156-809c-4e3d-9f78-2e73d6e40aa7,0abede1a-24ce-466c-a87a-cbf66ad8eeec,4838.859070719283,"LINESTRING (-79.64986134 44.36597526, -79.64986134 44.36597526, -79.6358914456303 44.3490050345066, -79.65565724 44.36817967)"
025e3cd3-af74-42bc-89a7-cc35ee83bd10,db26052a-916e-4235-9caa-0a364b781f39,4B SOUTH GO,0,32,Hurst at Little - Big Bay Point at Dodson,Hurst at Little,Big Bay Point at Dodson,0abede1a-24ce-466c-a87a-cbf66ad8eeec - bbed2b69-0bdf-443c-af42-c63af9a6a59b,0abede1a-24ce-466c-a87a-cbf66ad8eeec,bbed2b69-0bdf-443c-af42-c63af9a6a59b,4157.936649613334,"LINESTRING (-79.65565724 44.36817967, -79.65565724 44.36817967, -79.6342713912887 44.3635426082338, -79.6498268633978 44.3548589560305, -79.641179 44.358631)"
025e3cd3-af74-42bc-89a7-cc35ee83bd10,db26052a-916e-4235-9caa-0a364b781f39,4B SOUTH GO,0,54,Big Bay Point at Dodson - Garden Drive,Big Bay Point at Dodson,Garden Drive,bbed2b69-0bdf-443c-af42-c63af9a6a59b - ab2b1d6e-9198-4641-908f-4f9e4aa3355a,bbed2b69-0bdf-443c-af42-c63af9a6a59b,ab2b1d6e-9198-4641-908f-4f9e4aa3355a,5774.123825091357,"LINESTRING (-79.641179 44.358631, -79.641179 44.358631, -79.6922138149866 44.3720599634683, -79.67420508 44.37077229)"
025e3cd3-af74-42bc-89a7-cc35ee83bd10,db26052a-916e-4235-9caa-0a364b781f39,4B SOUTH GO,0,19,Garden Drive - Edwards Drive,Garden Drive,Edwards Drive,ab2b1d6e-9198-4641-908f-4f9e4aa3355a - 3a3190bf-7137-4243-91ee-f1fae5f1860a,ab2b1d6e-9198-4641-908f-4f9e4aa3355a,3a3190bf-7137-4243-91ee-f1fae5f1860a,4760.065192615488,"LINESTRING (-79.67420508 44.37077229, -79.67420508 44.37077229, -79.6463788835036 44.3639918782706, -79.6503807395924 44.3564937625226, -79.63255951 44.36152163)"
025e3cd3-af74-42bc-89a7-cc35ee83bd10,db26052a-916e-4235-9caa-0a364b781f39,4B SOUTH GO,0,50,Edwards Drive - Manor Gate,Edwards Drive,Manor Gate,3a3190bf-7137-4243-91ee-f1fae5f1860a - 80bbdb38-41b1-4c10-aadc-d45b6fe1e654,3a3190bf-7137-4243-91ee-f1fae5f1860a,80bbdb38-41b1-4c10-aadc-d45b6fe1e654,1363.4381383790076,"LINESTRING (-79.63255951 44.36152163, -79.63255951 44.36152163, -79.6488103061205 44.3653584638452)"
