Unnamed: 0,shape_id,route_id,route_name,direction_id,stop_sequence,segment_name,start_stop_name,end_stop_name,segment_id,start_stop_id,end_stop_id,distance_m,geometry,agency_name
392,1021,1700980,980,0,1,Pulheim Bf - Pulheim Am Wiesenhang,Pulheim Bf,Pulheim Am Wiesenhang,6613 - 1953,6613,1953,885.3592601762908,"LINESTRING (6.79687 50.99835, 6.79687 50.99835, 6.79673 50.9987, 6.79627 50.99902, 6.79726 50.99964, 6.79813 50.99935, 6.79818 50.99882, 6.79918 50.99752, 6.79842 50.99641, 6.79786 50.99588, 6.79666 50.99507, 6.796080278368485 50.99443344291441)",REVG Rhein-Erft-Verkehrsgesellschaft mbH
393,1021,1700980,980,0,2,Pulheim Am Wiesenhang - Pulheim Am Bendacker,Pulheim Am Wiesenhang,Pulheim Am Bendacker,1953 - 5818,1953,5818,279.6307185926975,"LINESTRING (6.796080278368485 50.99443344291441, 6.79564 50.99395, 6.79374 50.9926, 6.7935569478670095 50.99250335756954)",REVG Rhein-Erft-Verkehrsgesellschaft mbH
394,1021,1700980,980,0,3,Pulheim Am Bendacker - Pulheim Von-Frentz-Str.,Pulheim Am Bendacker,Pulheim Von-Frentz-Str.,5818 - 1913,5818,1913,1100.0204415963349,"LINESTRING (6.7935569478670095 50.99250335756954, 6.79213 50.99175, 6.79157 50.99135, 6.79031 50.99021, 6.78909 50.9889, 6.7881 50.98773, 6.78775 50.9871, 6.78674 50.98462, 6.78659002739726 50.983909260273975)",REVG Rhein-Erft-Verkehrsgesellschaft mbH
395,1021,1700980,980,0,4,Pulheim Von-Frentz-Str. - Pulheim Sintherner Str.,Pulheim Von-Frentz-Str.,Pulheim Sintherner Str.,1913 - 1914,1913,1914,589.9928848456793,"LINESTRING (6.78659002739726 50.983909260273975, 6.78651 50.98353, 6.78624 50.98306, 6.78741 50.98226, 6.7887 50.98171, 6.78861 50.98158, 6.78823 50.98111, 6.78759 50.98053, 6.786593198489443 50.979787100761)",REVG Rhein-Erft-Verkehrsgesellschaft mbH
396,1021,1700980,980,0,5,Pulheim Sintherner Str. - Pulheim Sinthern Nord,Pulheim Sintherner Str.,Pulheim Sinthern Nord,1914 - 6608,1914,6608,593.9251646927521,"LINESTRING (6.786593198489443 50.979787100761, 6.78653 50.97974, 6.78385 50.9773, 6.78223 50.97621, 6.7817587447490215 50.975452625489496)",REVG Rhein-Erft-Verkehrsgesellschaft mbH
397,1021,1700980,980,0,6,Pulheim Sinthern Nord - Pulheim Bürgerhaus,Pulheim Sinthern Nord,Pulheim Bürgerhaus,6608 - 6607,6608,6607,457.5365616481102,"LINESTRING (6.7817587447490215 50.975452625489496, 6.78139 50.97486, 6.78128 50.97441, 6.78136 50.97392, 6.78129 50.97361, 6.7792 50.97308, 6.77862 50.97279, 6.778601366965012 50.972463921887716)",REVG Rhein-Erft-Verkehrsgesellschaft mbH
398,1021,1700980,980,0,7,Pulheim Bürgerhaus - Pulheim Erfurter Str.,Pulheim Bürgerhaus,Pulheim Erfurter Str.,6607 - 8503,6607,8503,802.5018172173365,"LINESTRING (6.778601366965012 50.972463921887716, 6.77856 50.97174, 6.77826 50.97056, 6.7782 50.96976, 6.77822 50.96836, 6.77853 50.96736, 6.77955585006145 50.965388758705444)",REVG Rhein-Erft-Verkehrsgesellschaft mbH
399,1021,1700980,980,0,8,Pulheim Erfurter Str. - Pulheim Abtei Brauweiler,Pulheim Erfurter Str.,Pulheim Abtei Brauweiler,8503 - 6606,8503,6606,423.2837484873865,"LINESTRING (6.77955585006145 50.965388758705444, 6.78006 50.96442, 6.78026 50.96411, 6.78104 50.9633, 6.78123 50.96271, 6.78163 50.9621, 6.781719516778523 50.961866261744966)",REVG Rhein-Erft-Verkehrsgesellschaft mbH
400,1021,1700980,980,0,9,Pulheim Abtei Brauweiler - Pulheim Brauweiler Friedhof,Pulheim Abtei Brauweiler,Pulheim Brauweiler Friedhof,6606 - 7482,6606,7482,1175.7294165626836,"LINESTRING (6.781719516778523 50.961866261744966, 6.78181 50.96163, 6.78565 50.95748, 6.7771 50.95682, 6.777009613733905 50.956764377682404)",REVG Rhein-Erft-Verkehrsgesellschaft mbH
401,1021,1700980,980,0,10,Pulheim Brauweiler Friedhof - Frechen Kleinkönigsdorf,Pulheim Brauweiler Friedhof,Frechen Kleinkönigsdorf,7482 - 6714,7482,6714,1926.2253189429284,"LINESTRING (6.777009613733905 50.956764377682404, 6.77697 50.95674, 6.77316 50.95349, 6.77248 50.9526, 6.7722 50.9521, 6.77175 50.95068, 6.77154 50.95045, 6.77065 50.94982, 6.76919 50.9491, 6.76835 50.94853, 6.76678 50.94689, 6.76453 50.94526, 6.76361 50.9445, 6.76278 50.94355, 6.76272 50.94324, 6.763415755497484 50.942597182420805)",REVG Rhein-Erft-Verkehrsgesellschaft mbH
402,1021,1700980,980,0,11,Frechen Kleinkönigsdorf - Frechen Pfeilstr.,Frechen Kleinkönigsdorf,Frechen Pfeilstr.,6714 - 1916,6714,1916,442.25271709249023,"LINESTRING (6.763415755497484 50.942597182420805, 6.76364 50.94239, 6.76487 50.94076, 6.76532 50.9403, 6.7668118472452505 50.9392944455032)",REVG Rhein-Erft-Verkehrsgesellschaft mbH
403,1021,1700980,980,0,12,Frechen Pfeilstr. - Frechen Friedrich-Ebert-Str.,Frechen Pfeilstr.,Frechen Friedrich-Ebert-Str.,1916 - 1917,1916,1917,511.0129695764479,"LINESTRING (6.7668118472452505 50.9392944455032, 6.76713 50.93908, 6.76714 50.93894, 6.76731 50.93895, 6.76761 50.93867, 6.76838 50.9372, 6.76888 50.93652, 6.76894 50.93573, 6.769905352234066 50.935864941710136)",REVG Rhein-Erft-Verkehrsgesellschaft mbH
404,1021,1700980,980,0,13,Frechen Friedrich-Ebert-Str. - Frechen Königsdorf Bf,Frechen Friedrich-Ebert-Str.,Frechen Königsdorf Bf,1917 - 9568,1917,9568,568.3853945987171,"LINESTRING (6.769905352234066 50.935864941710136, 6.77266 50.93625, 6.777720627878269 50.93716892075611)",REVG Rhein-Erft-Verkehrsgesellschaft mbH
405,1021,1700980,980,0,14,Frechen Königsdorf Bf - Frechen Neufreimersdorf,Frechen Königsdorf Bf,Frechen Neufreimersdorf,9568 - 6711,9568,6711,349.0834094546905,"LINESTRING (6.777720627878269 50.93716892075611, 6.78037 50.93765, 6.78138 50.93773, 6.782571102919708 50.9376978080292)",REVG Rhein-Erft-Verkehrsgesellschaft mbH
406,1021,1700980,980,0,15,Frechen Neufreimersdorf - Frechen Auf dem Rotental,Frechen Neufreimersdorf,Frechen Auf dem Rotental,6711 - 2767,6711,2767,505.54487697465487,"LINESTRING (6.782571102919708 50.9376978080292, 6.78286 50.93769, 6.78394 50.93747, 6.78458 50.93746, 6.78566 50.93759, 6.78608 50.93729, 6.78731 50.9367, 6.78759 50.93631, 6.787935537104629 50.93560150375185)",REVG Rhein-Erft-Verkehrsgesellschaft mbH
407,1021,1700980,980,0,16,Frechen Auf dem Rotental - Frechen Katharina-Kraemer-Weg,Frechen Auf dem Rotental,Frechen Katharina-Kraemer-Weg,2767 - 6710,2767,6710,603.060104036095,"LINESTRING (6.787935537104629 50.93560150375185, 6.78878 50.93387, 6.79021 50.93159, 6.79043 50.93102, 6.79055148447153 50.9304548331107)",REVG Rhein-Erft-Verkehrsgesellschaft mbH
